gene_symbol,chromosome,start,end,depth,sample_id
AKT2,chr19,40234870,40235157,1.8676,SRR4039097
AKT2,chr19,40236198,40236440,3.22727,SRR4039097
AKT2,chr19,40255146,40255279,3.47368,SRR4039097
AKT2,chr19,40256867,40257109,2.17355,SRR4039097
AKT2,chr19,40282516,40282666,4.46,SRR4039097
NF1,chr17,31147562,31147664,532.225,SRR4039097
NF1,chr17,31155932,31156174,174.165,SRR4039097
NF1,chr17,31158959,31159111,144.539,SRR4039097
NF1,chr17,31163158,31163400,139.719,SRR4039097
NF1,chr17,31169880,31170007,141.803,SRR4039097
NF1,chr17,31181393,31181515,376.648,SRR4039097
NF1,chr17,31181685,31181807,245.713,SRR4039097
NF1,chr17,31182464,31182706,233.202,SRR4039097
NF1,chr17,31200386,31200628,271.438,SRR4039097
NF1,chr17,31200945,31201217,432.007,SRR4039097
NF1,chr17,31201385,31201507,53.2295,SRR4039097
NF1,chr17,31206183,31206425,248.099,SRR4039097
NF1,chr17,31214395,31214637,537.318,SRR4039097
NF1,chr17,31218994,31219133,112.849,SRR4039097
NF1,chr17,31223353,31223625,211.57,SRR4039097
NF1,chr17,31225050,31225292,140.715,SRR4039097
NF1,chr17,31226377,31226739,29.0249,SRR4039097
NF1,chr17,31227472,31227624,1334.78,SRR4039097
NF1,chr17,31228972,31229228,78.6328,SRR4039097
NF1,chr17,31229228,31229484,439.375,SRR4039097
NF1,chr17,31229752,31230024,300.026,SRR4039097
NF1,chr17,31230198,31230440,463.909,SRR4039097
NF1,chr17,31230821,31230943,1862.91,SRR4039097
NF1,chr17,31232062,31232250,206.84,SRR4039097
NF1,chr17,31232668,31232910,69.1364,SRR4039097
NF1,chr17,31232985,31233227,230.095,SRR4039097
NF1,chr17,31235569,31235811,264.14,SRR4039097
NF1,chr17,31235907,31236031,292.097,SRR4039097
NF1,chr17,31248929,31249171,156.182,SRR4039097
NF1,chr17,31249916,31250018,184.598,SRR4039097
NF1,chr17,31252906,31253028,135.623,SRR4039097
NF1,chr17,31258300,31258542,297.335,SRR4039097
NF1,chr17,31259018,31259140,176.254,SRR4039097
NF1,chr17,31260319,31260561,303.194,SRR4039097
NF1,chr17,31261661,31261903,322.103,SRR4039097
NF1,chr17,31265218,31265349,313.992,SRR4039097
NF1,chr17,31294947,31295235,187.792,SRR4039097
NF1,chr17,31295235,31295523,299.396,SRR4039097
NF1,chr17,31295523,31295812,466.945,SRR4039097
NF1,chr17,31295812,31296100,133.323,SRR4039097
NF1,chr17,31296100,31296389,183.927,SRR4039097
NF1,chr17,31304213,31304501,177.24,SRR4039097
NF1,chr17,31304501,31304789,220.306,SRR4039097
NF1,chr17,31304789,31305078,216.028,SRR4039097
NF1,chr17,31305078,31305366,324.983,SRR4039097
NF1,chr17,31305366,31305655,314.654,SRR4039097
NF1,chr17,31318240,31318520,151.975,SRR4039097
NF1,chr17,31318520,31318801,234.52,SRR4039097
NF1,chr17,31318801,31319082,290.886,SRR4039097
NF1,chr17,31320350,31320489,80.1007,SRR4039097
NF1,chr17,31325793,31326034,137.51,SRR4039097
NF1,chr17,31326034,31326275,47.3402,SRR4039097
NF1,chr17,31327486,31327849,52.4545,SRR4039097
NF1,chr17,31330274,31330516,126.86,SRR4039097
NF1,chr17,31334812,31335054,245.355,SRR4039097
NF1,chr17,31336288,31336522,153.705,SRR4039097
NF1,chr17,31336624,31336954,192.615,SRR4039097
NF1,chr17,31337352,31337594,137.194,SRR4039097
NF1,chr17,31337787,31337909,133.566,SRR4039097
NF1,chr17,31337981,31338201,280.605,SRR4039097
NF1,chr17,31338692,31338815,110.561,SRR4039097
NF1,chr17,31340452,31340694,138.066,SRR4039097
NF1,chr17,31342919,31343191,122.827,SRR4039097
NF1,chr17,31344217,31344319,303.745,SRR4039097
NF1,chr17,31345836,31345957,304.322,SRR4039097
NF1,chr17,31346070,31346252,335.022,SRR4039097
NF1,chr17,31348932,31349033,106.04,SRR4039097
NF1,chr17,31349109,31349305,190.842,SRR4039097
NF1,chr17,31350128,31350370,190.202,SRR4039097
NF1,chr17,31352213,31352436,43.5202,SRR4039097
NF1,chr17,31356398,31356640,158.793,SRR4039097
NF1,chr17,31356902,31357144,159.682,SRR4039097
NF1,chr17,31357256,31357379,285.52,SRR4039097
NF1,chr17,31358428,31358670,233.541,SRR4039097
NF1,chr17,31358899,31359051,104.263,SRR4039097
NF1,chr17,31360472,31360714,183.975,SRR4039097
NF1,chr17,31367189,31367311,124.221,SRR4039097
NF1,chr17,31373961,31374218,60.5019,SRR4039097
NF1,chr17,31374218,31374475,121.016,SRR4039097
NF1,chr17,31374646,31374748,280.794,SRR4039097
NF1,chr17,31375020,31375122,253.902,SRR4039097
NF1,chr17,31375302,31375404,210.657,SRR4039097
NF1,chr17,31375541,31375643,207.225,SRR4039097
NF1,chr17,31377078,31377179,132.485,SRR4039097
NF1,chr17,31377370,31377566,104.48,SRR4039097
NF1,chr17,31377605,31377707,154.676,SRR4039097
NF1,chr17,31381785,31381975,67.4632,SRR4039097
CDKN2A,chr9,21967451,21967752,118.535,SRR4039097
CDKN2A,chr9,21968143,21968295,7.59211,SRR4039097
CDKN2A,chr9,21968696,21968798,9.5098,SRR4039097
CDKN2A,chr9,21974439,21974739,1.22667,SRR4039097
