cell_line,subtype,source_site,patient_id,family,n_lines_in_family,patient_representative,has_rna,has_prot,has_wes_cnv,has_wes_maf,subtype_conflict,all_three,tmt_plex,tmt_channel,rna_passage,wes_passage,rna_pseudoalign_pct,rna_assigned_gene_counts_M,rna_sequenced_fragments_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,wes_indel_frac,wes_tstv,wes_is_hypermutator,msi_mmr_call,sbs_best_cosmic,fga_autosome,fga_withX_legacy,high_fga_flag,TP53,key_drivers,expression_consistent,expression_basis,genomics_consistent,swisnf_deficient,swisnf_tier3_only_calls,provisional_molecular_call,auth_flags,drivers_tier12,drivers_tier3,drivers_annotated,n_drivers_tier12,n_drivers_tier3,driver_context,consensusov_call,consensusov_prob_top,consensusov_margin,consensusov_call_inherited,consensusov_provenance,cellosaurus_accession,str_profile_documented,problematic_flag,current_stock_str_status,current_stock_mycoplasma_status
VOA4841,CC,Huntsman,VOA4841,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,3,ch7,p43,NA,85.8,74,86.3,20912,7562,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partial,positive lineage program (specific markers expressed),not assessed,TRUE,NA,CC (partial expression support),atypical SWI/SNF signal for CC: SMARCA4 loss[prot z=-2.0 (rank 1/31)] — verify,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA6861,CC,Huntsman,VOA6861,NA,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-,NA,NA,p17,NA,88,70.6,80.2,21208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partial,positive lineage program (specific markers expressed),not assessed,FALSE,NA,CC (partial expression support),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV112D,EC,Mes-Masson,TOV112D,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Y,4,ch6,p63,P83,91.1,46.7,51.3,19841,7694,8.7,133,0.093,0.92,FALSE,no hypermutation signal,SBS5,0.233,0.268,FALSE,mut(R175H),"CTNNB1, KRAS, SMARCA4, TP53",not assessed,not assessed (no specific positive panel for this subtype),discordant,TRUE,NA,dedifferentiated carcinoma (candidate SMARCA4 loss; historical label 'EC'),"label conflict in source metadata; TP53-mut + SWI/SNF (SMARCA4/SMARCA2) loss -> dedifferentiated carcinoma, NOT typical EC (Karnezis 2021)","CTNNB1, KRAS, SMARCA4, TP53",NA,"CTNNB1, KRAS, SMARCA4, TP53",4,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_3612,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA4395,EC,Huntsman,VOA4395,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,1,ch8,p39-40,NA,88.6,45.1,50.9,19686,7738,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not assessed,not assessed (no specific positive panel for this subtype),not assessed,FALSE,NA,EC (as labeled; STR pending),becomes sole EC (n=1) if TOV112D reclassified; no WES — STR pending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
TOV2414,MC,Mes-Masson,TOV2414,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Y,5,ch6,p69,P65,92.9,77.5,83.4,19582,7653,9.2,142,0.079,0.93,FALSE,no hypermutation signal,SBS5,0.331,0.366,FALSE,no retained candidate,KRAS,consistent,positive lineage program (specific markers expressed),consistent,FALSE,NA,MC (concordant),ovarian mucinous — published derivation (Sauriol 2020: KRAS G12A); see script 11,KRAS,NA,KRAS,1,0,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_A1SR,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA8762,MC,Huntsman,VOA8762,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,4,ch7,p27,NA,85.8,74.8,87.2,21788,7694,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,positive lineage program (specific markers expressed),not assessed,FALSE,NA,MC (expression-supported),ovarian-vs-GI origin unresolved (no external provenance) — see script 11 + STR/IHC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA8771,MC,Huntsman,VOA8771,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,5,ch8,p28,NA,88.1,65.8,74.7,21476,7653,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,positive lineage program (specific markers expressed),not assessed,FALSE,NA,MC (expression-supported),ovarian-vs-GI origin unresolved (no external provenance) — see script 11 + STR/IHC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA5217,MMMT,Huntsman,VOA5217,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,4,ch8,p36,NA,89.9,44.1,49.1,19788,7694,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,MMMT (expression-supported),none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
VOA5436,MMMT,Huntsman,VOA5436,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,5,ch7,p35,NA,88.8,72.7,81.9,20464,7653,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,discordant,absence of a competing CC/MC program (NOT a positive serous call),not assessed,FALSE,NA,MMMT (as labeled; STR pending),expression resembles clear-cell program (HNF1B/NAPSA z=2.0) (review vs labeled MMMT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,NA,FALSE,NA,documentation pending author confirmation,documentation pending author confirmation
BIN67,SCCOHT,Huntsman/Vanderhyden,BIN67,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,3,ch3,p51,NA,87.9,44.4,50.5,20270,7562,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,SWI/SNF loss — same evidence as the reclassification (circular),not assessed,TRUE,NA,SCCOHT (low SMARCA4 protein + low SMARCA2 RNA),SWI/SNF-deficient (SMARCA4 protein/WES +/- SMARCA2 mRNA) supports SCCOHT (Karnezis 2021),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_S987,TRUE,NA,documentation pending author confirmation,documentation pending author confirmation
COV434,SCCOHT,Huntsman,COV434,NA,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-,1,ch10,p46,NA,89.1,46.8,52.6,20184,7738,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,consistent,SWI/SNF loss — same evidence as the reclassification (circular),not assessed,TRUE,NA,SCCOHT (candidate SMARCA4/SMARCA2 loss; historical label 'granulosa'),SWI/SNF-deficient (SMARCA4 protein/WES +/- SMARCA2 mRNA) supports SCCOHT (Karnezis 2021),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMPUTED by scripts/18_external_benchmarking.R with consensusOV 1.30.0 on log2(TPM+1) Entrez-collapsed expression of the 15 HGSC RNA lines; seed 1234; concordant.tumors.only = TRUE; remove.using.cutoff = FALSE (package defaults). Inherited labels from samples.csv `notes` retained for comparison.,CVCL_2010,TRUE,"Misclassified. Originally thought to be an ovarian granulosa cell tumor but seems to be a small cell carcinoma of the ovary, hypercalcemic type (SCCOHT) (PubMed=33328126).",documentation pending author confirmation,documentation pending author confirmation
