cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,BRCA2,ENSG00000139618,0.5114036844001001,0.5958890448169407,19.0,31,5.0,15,0.44661593616488837,12.0,0.14927310865205234,BRCA2,P51587,True,6,13.44361810198751,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,BRCA2,ENSG00000139618,1.975426,1.5730962378623214,12.0,31,1.0,15,0.44661593616488837,12.0,1.1264803016974332,BRCA2,P51587,True,6,13.51254224884616,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,BRCA2,ENSG00000139618,NA,NA,NA,31,NA,0,NA,0.0,NA,BRCA2,P51587,True,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,BRCA2,ENSG00000139618,0.719322,0.7818397625585382,16.0,31,6.0,7,1.162116561087338,7.0,-0.3802767985287999,BRCA2,P51587,True,6,13.49574118063254,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,BRCA2,ENSG00000139618,0.0447485,0.06315568730917134,31.0,31,7.0,7,1.162116561087338,7.0,-1.0989608737781666,BRCA2,P51587,True,6,13.10265203909313,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,BRCA2,ENSG00000139618,1.19527195,1.1343996717031373,14.0,31,5.0,7,1.162116561087338,7.0,-0.027716889384200805,BRCA2,P51587,True,6,12.9482526577685,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,BRCA2,ENSG00000139618,2.082109,1.6239178842338642,11.0,31,3.0,7,1.162116561087338,7.0,0.4618013231465261,BRCA2,P51587,True,6,12.79331248464501,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,BRCA2,ENSG00000139618,NA,NA,NA,31,NA,7,1.162116561087338,7.0,NA,BRCA2,P51587,True,6,13.42874586392263,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,BRCA2,ENSG00000139618,7.528370000000001,3.0922700302154835,2.0,31,1.0,7,1.162116561087338,7.0,1.9301534691281454,BRCA2,P51587,True,6,13.1268436041789,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,BRCA2,ENSG00000139618,1.237855,1.162116561087338,13.0,31,4.0,7,1.162116561087338,7.0,0.0,BRCA2,P51587,True,6,13.21866597959049,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,BRCA2,ENSG00000139618,2.9372100000000003,1.977173663952061,8.0,31,2.0,7,1.162116561087338,7.0,0.8150571028647229,BRCA2,P51587,True,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,BRCA2,ENSG00000139618,6.7247213,2.949482883002629,3.0,31,1.0,2,2.3329324871438804,2.0,0.6165503958587486,BRCA2,P51587,True,6,13.48235421872077,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,BRCA2,ENSG00000139618,2.286113,1.7163820912851313,10.0,31,2.0,2,2.3329324871438804,2.0,-0.616550395858749,BRCA2,P51587,True,6,13.295636688432,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,BRCA2,ENSG00000139618,0.2874131,0.3644750540976552,25.0,31,3.0,3,2.612668370738136,3.0,-2.2481933166404806,BRCA2,P51587,True,6,13.40433704864734,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,BRCA2,ENSG00000139618,5.116339000000001,2.612668370738136,5.0,31,2.0,3,2.612668370738136,3.0,0.0,BRCA2,P51587,True,6,13.14211597266783,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,BRCA2,ENSG00000139618,7.838,3.1437199310949184,1.0,31,1.0,3,2.612668370738136,3.0,0.5310515603567825,BRCA2,P51587,True,6,13.36179540821213,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,BRCA2,ENSG00000139618,2.3752910000000003,1.755011889173498,9.0,31,2.0,2,1.8854256258683935,2.0,-0.13041373669489542,BRCA2,P51587,True,6,13.52797708495208,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,BRCA2,ENSG00000139618,3.044158,2.015839362563289,7.0,31,1.0,2,1.8854256258683935,2.0,0.13041373669489542,BRCA2,P51587,True,6,13.28694339922475,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,BRCA2,ENSG00000139618,3.770255,2.254066389375926,6.0,31,2.0,2,2.517007832270722,2.0,-0.26294144289479604,BRCA2,P51587,True,6,13.51264674160436,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,BRCA2,ENSG00000139618,5.868282,2.779949275165518,4.0,31,1.0,2,2.517007832270722,2.0,0.26294144289479604,BRCA2,P51587,True,6,12.87344329423444,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,PALB2,ENSG00000083093,1.9335427999999997,1.5526440408919453,26.0,31,10.0,15,1.8678176643287059,12.0,-0.3151736234367606,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,PALB2,ENSG00000083093,16.846628,4.157579607392075,1.0,31,1.0,15,1.8678176643287059,12.0,2.2897619430633696,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,PALB2,ENSG00000083093,2.882326,1.956921266644154,22.0,31,7.0,15,1.8678176643287059,12.0,0.08910360231544812,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,PALB2,ENSG00000083093,3.354167,2.122396741805276,19.0,31,4.0,15,1.8678176643287059,12.0,0.25457907747657016,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,PALB2,ENSG00000083093,1.6746219000000002,1.419334958224268,28.0,31,12.0,15,1.8678176643287059,12.0,-0.44848270610443786,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,PALB2,ENSG00000083093,0.9383464,0.9548264164210148,31.0,31,15.0,15,1.8678176643287059,12.0,-0.912991247907691,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,PALB2,ENSG00000083093,7.24757822088,3.04397055552322,14.0,31,2.0,15,1.8678176643287059,12.0,1.1761528911945143,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,PALB2,ENSG00000083093,1.5963969,1.3765109387660266,29.0,31,13.0,15,1.8678176643287059,12.0,-0.4913067255626793,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,PALB2,ENSG00000083093,2.431202,1.778714062013258,24.0,31,9.0,15,1.8678176643287059,12.0,-0.0891036023154479,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,PALB2,ENSG00000083093,0.9466781,0.9610143417222502,30.0,31,14.0,15,1.8678176643287059,12.0,-0.9068033226064557,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,PALB2,ENSG00000083093,3.199384,2.0701777171002305,20.0,31,5.0,15,1.8678176643287059,12.0,0.20236005277152458,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,15,1.8678176643287059,12.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,PALB2,ENSG00000083093,2.7951515999999996,1.9241575162599318,23.0,31,8.0,15,1.8678176643287059,12.0,0.056339851931225926,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,PALB2,ENSG00000083093,1.764773752,1.4671614261299384,27.0,31,11.0,15,1.8678176643287059,12.0,-0.4006562381987675,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,PALB2,ENSG00000083093,2.9465589999999997,1.9805953172906257,21.0,31,6.0,15,1.8678176643287059,12.0,0.11277765296191977,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,PALB2,ENSG00000083093,6.457728911399999,2.8987363560701236,15.0,31,3.0,15,1.8678176643287059,12.0,1.0309186917414177,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,PALB2,ENSG00000083093,NA,NA,NA,31,NA,0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,PALB2,ENSG00000083093,5.601745000000001,2.722847413879993,17.0,31,6.0,7,3.5509868343412156,7.0,-0.8281394204612225,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,PALB2,ENSG00000083093,3.3871309999999997,2.1332777859624903,18.0,31,7.0,7,3.5509868343412156,7.0,-1.4177090483787254,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,PALB2,ENSG00000083093,8.926139692,3.3112327580339396,11.0,31,5.0,7,3.5509868343412156,7.0,-0.23975407630727608,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,PALB2,ENSG00000083093,10.7207000363501,3.5509868343412156,8.0,31,4.0,7,3.5509868343412156,7.0,0.0,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,PALB2,ENSG00000083093,NA,NA,NA,31,NA,7,3.5509868343412156,7.0,NA,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,PALB2,ENSG00000083093,11.086441,3.5953175828538844,7.0,31,3.0,7,3.5509868343412156,7.0,0.044330748512668716,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,PALB2,ENSG00000083093,12.184468,3.7207674537844637,4.0,31,1.0,7,3.5509868343412156,7.0,0.16978061944324807,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,PALB2,ENSG00000083093,11.901976,3.6895201331781706,6.0,31,2.0,7,3.5509868343412156,7.0,0.13853329883695498,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,PALB2,ENSG00000083093,13.64772300195077,3.8726045090837404,2.0,31,1.0,2,3.6278761056544493,2.0,0.24472840342929114,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,PALB2,ENSG00000083093,9.433474,3.383147702225158,10.0,31,2.0,2,3.6278761056544493,2.0,-0.24472840342929114,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,PALB2,ENSG00000083093,2.3499550000000005,1.7441417159546244,25.0,31,3.0,3,3.498388613176772,3.0,-1.7542468972221474,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,PALB2,ENSG00000083093,10.301078953,3.498388613176772,9.0,31,2.0,3,3.498388613176772,3.0,0.0,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,PALB2,ENSG00000083093,12.828712999999995,3.7895949899935446,3.0,31,1.0,3,3.498388613176772,3.0,0.29120637681677275,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,PALB2,ENSG00000083093,5.72651075449,2.749858329116287,16.0,31,2.0,2,2.954635418047315,2.0,-0.2047770889310283,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,PALB2,ENSG00000083093,7.934658000000001,3.1594125069783434,13.0,31,1.0,2,2.954635418047315,2.0,0.2047770889310283,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,PALB2,ENSG00000083093,8.750691,3.2855044616262274,12.0,31,2.0,2,3.488558048371212,2.0,-0.20305358674498475,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,PALB2,ENSG00000083093,11.9206938,3.691611635116197,5.0,31,1.0,2,3.488558048371212,2.0,0.20305358674498475,NA,NA,NA,NA,NA,NA,0,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,RAD51C,ENSG00000108384,67.10553200000001,6.089700083503887,2.0,31,1.0,15,4.466503925074498,12.0,1.6231961584293888,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,RAD51C,ENSG00000108384,0.3864636999999999,0.4714098446388093,31.0,31,15.0,15,4.466503925074498,12.0,-3.995094080435689,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,RAD51C,ENSG00000108384,13.51738,3.859709203725938,27.0,31,13.0,15,4.466503925074498,12.0,-0.6067947213485603,RAD51C,O43502,False,2,7.270169007766532,16.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,RAD51C,ENSG00000108384,19.879527999999997,4.384017193780026,21.0,31,8.0,15,4.466503925074498,12.0,-0.08248673129447237,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,RAD51C,ENSG00000108384,26.0750721,4.7588932745741115,16.0,31,5.0,15,4.466503925074498,12.0,0.29238934949961326,RAD51C,O43502,False,2,7.321071362570638,14.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,RAD51C,ENSG00000108384,11.588313,3.6540130507314936,29.0,31,14.0,15,4.466503925074498,12.0,-0.8124908743430046,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,RAD51C,ENSG00000108384,19.358001000000005,4.347524001636291,23.0,31,10.0,15,4.466503925074498,12.0,-0.11897992343820718,RAD51C,O43502,False,2,7.843011598397582,3.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,RAD51C,ENSG00000108384,22.530694400000005,4.556471990573006,20.0,31,7.0,15,4.466503925074498,12.0,0.08996806549850778,RAD51C,O43502,False,2,7.340859821095461,13.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,RAD51C,ENSG00000108384,23.96173,4.64164602011034,19.0,31,6.0,15,4.466503925074498,12.0,0.17514209503584155,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,RAD51C,ENSG00000108384,28.1030849,4.863100180462336,14.0,31,4.0,15,4.466503925074498,12.0,0.3965962553878377,RAD51C,O43502,False,2,7.53565405644568,8.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,RAD51C,ENSG00000108384,36.526133300000005,5.229823737195705,10.0,31,3.0,15,4.466503925074498,12.0,0.7633198121212068,RAD51C,O43502,False,2,7.781179057612684,5.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,15,4.466503925074498,12.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,RAD51C,ENSG00000108384,14.545242000000004,3.958401170844714,26.0,31,12.0,15,4.466503925074498,12.0,-0.508102754229784,RAD51C,O43502,False,2,8.022869226556855,1.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,RAD51C,ENSG00000108384,51.160262,5.704879211104195,3.0,31,2.0,15,4.466503925074498,12.0,1.2383752860296964,RAD51C,O43502,False,2,7.396608842095897,11.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,RAD51C,ENSG00000108384,18.4795116,4.283885600793701,24.0,31,11.0,15,4.466503925074498,12.0,-0.1826183242807975,RAD51C,O43502,False,2,7.789189541601502,4.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,RAD51C,ENSG00000108384,19.771534,4.3765358595759905,22.0,31,9.0,15,4.466503925074498,12.0,-0.08996806549850778,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,0,NA,0.0,NA,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,RAD51C,ENSG00000108384,42.44319700000001,5.441058370366915,7.0,31,2.0,7,5.023508724438995,7.0,0.4175496459279202,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,RAD51C,ENSG00000108384,12.9873222,3.8060478873717063,28.0,31,7.0,7,5.023508724438995,7.0,-1.2174608370672884,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,RAD51C,ENSG00000108384,24.519262,4.673514702817129,18.0,31,6.0,7,5.023508724438995,7.0,-0.34999402162186577,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,RAD51C,ENSG00000108384,31.525711800000007,5.023508724438995,12.0,31,4.0,7,5.023508724438995,7.0,0.0,RAD51C,O43502,False,2,7.641289006627726,6.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,RAD51C,ENSG00000108384,NA,NA,NA,31,NA,7,5.023508724438995,7.0,NA,RAD51C,O43502,False,2,7.515106188749859,9.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,RAD51C,ENSG00000108384,43.239794999999994,5.467272795261777,5.0,31,1.0,7,5.023508724438995,7.0,0.44376407082278213,RAD51C,O43502,False,2,7.547275669617207,7.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,RAD51C,ENSG00000108384,29.227745999999996,4.917801500056775,13.0,31,5.0,7,5.023508724438995,7.0,-0.10570722438221924,RAD51C,O43502,False,2,7.246861049577739,17.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,RAD51C,ENSG00000108384,42.025363,5.427115459055006,8.0,31,3.0,7,5.023508724438995,7.0,0.4036067346160115,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,RAD51C,ENSG00000108384,50.179933,5.677506353624022,4.0,31,1.0,2,5.24744643858806,2.0,0.43005991503596164,RAD51C,O43502,False,2,7.878615430863904,2.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,RAD51C,ENSG00000108384,27.195373,4.8173865235520985,15.0,31,2.0,2,5.24744643858806,2.0,-0.43005991503596164,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,RAD51C,ENSG00000108384,9.6875708,3.417862072076127,30.0,31,3.0,3,5.198498750454194,3.0,-1.780636678378067,RAD51C,O43502,False,2,NA,NA,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,RAD51C,ENSG00000108384,35.720116999999995,5.198498750454194,11.0,31,2.0,3,5.198498750454194,3.0,0.0,RAD51C,O43502,False,2,7.356957238395127,12.0,17,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
