cell_line,sample_id,chromosome,antitarget_start,antitarget_end,antitarget_length,overlapping_target_bins,target_overlap_bp,depth,cnr_log2,cnr_weight,segment_start,segment_end,segment_log2,segment_probes,segment_recorded_weight,bin_weight_fraction_of_segment_recorded_weight,bin_is_contributor_to_segment,cnr_source,cns_source
TOV3121EP,TOV3121EP_P68,chrX,135782267,135793757,11490,44,11490,0.181027,17.6473,0.975364,54292840,155774631,0.187307,5163,4292.3,0.00022723574773431492,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns
TOV3133D,TOV3133D_P66,chr1,145242279,145290970,48691,2,265,0.922244,17.8723,0.928449,143401653,155034166,0.830908,1865,1482.53,0.0006262598395985242,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cnr,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns
TOV3133D,TOV3133D_P66,chr9,67727116,67844434,117318,1,88,0.0637413,14.3101,0.821012,66924202,110546322,0.288495,2876,2741.12,0.0002995169857576465,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cnr,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns
TOV3133D,TOV3133D_P66,chrX,135764982,135776495,11513,44,11513,0.338139,18.4881,0.798717,118444304,135868097,1.0791,1081,889.248,0.0008981937547230918,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cnr,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns
TOV3133D,TOV3133D_P66,chrX,135782267,135793757,11490,44,11490,0.30087,18.406,0.978848,118444304,135868097,1.0791,1081,889.248,0.0011007592932455288,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cnr,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns
TOV3133G,TOV3133G_P65,chr1,145242279,145290970,48691,2,265,0.856893,17.8448,0.916411,143401653,156537370,0.794171,2332,1802.29,0.0005084703349627418,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns
TOV3133G,TOV3133G_P65,chr9,67727116,67844434,117318,1,88,0.062224,14.3539,0.813257,60383628,103005799,0.0666919,2589,2436.39,0.0003337959029547815,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns
TOV3133G,TOV3133G_P65,chrX,135764982,135776495,11513,44,11513,0.38678,18.7606,0.773961,124963522,156023232,0.273444,1689,1345.82,0.0005750850782422612,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns
TOV3133G,TOV3133G_P65,chrX,135782267,135793757,11490,44,11490,0.188947,17.8134,0.954068,124963522,156023232,0.273444,1689,1345.82,0.0007089120387570403,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns
TOV3392D,TOV3392D_P69,chr1,145242279,145290970,48691,2,265,0.883613,17.8267,0.927975,143401653,148082455,0.0176302,463,393.645,0.0023573905422398355,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns
TOV3392D,TOV3392D_P69,chr9,67727116,67844434,117318,1,88,0.0374367,13.5585,0.820706,60383628,138243727,-0.150661,5844,5327.4,0.00015405375980778618,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns
TOV3392D,TOV3392D_P69,chrX,135764982,135776495,11513,44,11513,0.652393,19.4524,0.797742,49529817,156023232,0.8465,5723,4768.92,0.00016727938401147428,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns
TOV3392D,TOV3392D_P69,chrX,135782267,135793757,11490,44,11490,0.533246,19.2478,0.977872,49529817,156023232,0.8465,5723,4768.92,0.00020505103880962564,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cnr,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns
TOV81D,TOV81D_P23,chr1,145242279,145290970,48691,2,265,0.686061,17.4773,0.908917,143401653,248937126,-0.0546049,10133,9239.47,9.837328331603437e-05,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns
TOV81D,TOV81D_P23,chr9,67727116,67844434,117318,1,88,0.0681396,14.4381,0.808429,60383628,138243727,0.0257323,5844,5281.74,0.00015306111243643193,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns
TOV81D,TOV81D_P23,chrX,135764982,135776495,11513,44,11513,0.380179,18.689,0.758549,49529817,156023232,0.677886,5723,4725.78,0.00016051297351971528,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns
TOV81D,TOV81D_P23,chrX,135782267,135793757,11490,44,11490,0.155352,17.4842,0.938639,49529817,156023232,0.677886,5723,4725.78,0.00019862096839040329,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cnr,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns
